iter	RMSE
485	48.1489893
486	48.11291254
487	48.10304413
488	48.07540553
489	48.06778427
490	48.05497239
491	48.04250162
492	48.03695487
493	48.00747377
494	47.99668377
495	47.98696793
496	47.98381571
497	47.97847858
498	47.96729985
499	47.94967391
